num_leaves,max_depth,learning_rate,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,scale_pos_weight,min_split_gain,value
105,12,0.1001303991139125,62,0.4936111842654619,0.49359671220172163,2.231010801867923e-05,1.5741890047456624,6448.975844532831,0.7080725777960455,0.5
19,12,0.15107024270948044,25,0.5090949803242604,0.5100427059120604,0.0006690421166498799,0.014077923139972392,5087.157400069032,0.2912291401980419,0.5
162,4,0.016536643976750174,40,0.6736419905302216,0.8711055768358081,0.00015777663630582464,0.012173252504194038,6378.937279339442,0.046450412719997725,0.5
161,4,0.006525917448358937,96,0.9793792198447356,0.8850384088698767,0.0006724850206557243,3.855073690026178e-05,7118.075863422863,0.4401524937396013,0.5
44,7,0.005755963034165359,92,0.5552679889600102,0.7975133706123891,0.0007417652034871827,0.013194961490425657,6011.0177487134015,0.18485445552552704,0.5
248,10,0.23417537373087385,90,0.758739987286651,0.9531245410138701,3.395900933162749e-05,0.0001499329805509155,1974.0796757298315,0.32533033076326434,0.5
108,5,0.14879578963571918,39,0.5685607058124285,0.725617649894949,7.007213496896404e-05,0.6504020246676563,2210.132681622155,0.9868869366005173,0.5
201,4,0.0051143349052552075,83,0.8241144063085702,0.8374043008245924,0.4242502238267318,2.781428564375753e-05,4495.649114781395,0.11586905952512971,0.5
223,9,0.0193801324564921,11,0.5865893930293974,0.5951099932160483,0.2385816677142883,0.06688747907702054,8752.062577739429,0.4722149251619493,0.5
43,10,0.11265770241195593,58,0.8625803079727365,0.6962773578186344,0.013689795993592194,0.0036749049453053224,1814.6239702899663,0.10789142699330445,0.5
105,12,0.056530581483624075,67,0.4092206423968626,0.4232351199767098,5.736202516305265,7.191829770242628,9233.0431049407,0.7384055447250207,0.5
17,12,0.06561079253098964,10,0.4201795628944256,0.45671999621538906,1.0996932061997681e-05,9.20963125456538,4142.892548805411,0.7242393339184411,0.5
87,12,0.29374262008183577,31,0.48872193850635176,0.5311643886229552,0.005783054181881659,0.28450192444519773,4482.993239407671,0.6746120803844995,0.5
62,8,0.10585146424476868,70,0.6463057934780994,0.5813224852363682,0.0009671126207558613,0.000977932439068831,7714.826568898474,0.8931600082849813,0.5
136,11,0.032874249738248984,21,0.47180184658591723,0.49431185660312604,1.198967008672113e-05,0.5859656861120999,5087.60231290059,0.29062352377077266,0.5
79,7,0.17380395249074226,52,0.4976599772869031,0.6360055911972797,0.008096450032201118,0.10955463205368038,3663.2094071718648,0.5769491738896777,0.5
15,10,0.0765898439740277,45,0.6181610613135209,0.4142172469034995,0.0001624640225847438,0.0021776453149006804,7376.8235786365985,0.3203397352579168,0.5
138,11,0.03173477978340797,29,0.7303416674801918,0.5348161528883044,0.0018006034104090694,2.363902403550065,3038.6612597093767,0.5911447821692144,0.5
184,8,0.04767280982814606,75,0.530959622978442,0.6641528269553711,0.030444980396245012,0.00028151436260586836,5572.335865990051,0.8599256576325595,0.5
118,6,0.09937181420298306,59,0.45736084643994673,0.4799293128491095,0.0002864128427758966,0.03302056140221291,6410.28671800195,0.38153410849888747,0.5
54,11,0.17920240651674335,20,0.6152489635086531,0.5712428695316785,4.305526299270576e-05,1.8696574289135162,8552.971238403594,0.22076375866681544,0.5
152,5,0.014393373472057837,37,0.6792546996553736,0.998481897088584,8.07830592168816e-05,0.026268353603480392,6595.61037115769,0.013948479168463299,0.5
181,3,0.01751110341774365,49,0.6767060534617073,0.7804077955442329,0.00028412734344649673,0.004087117966538974,5622.258493754831,0.037616894131530666,0.5
168,9,0.010109769693570785,25,0.7895809494658435,0.9136035480972721,0.0016896748524097324,0.1377671510392744,8028.569453812866,0.2141104858393272,0.5
207,3,0.023354183554184834,40,0.9160245126181088,0.7660256462328222,0.00017269866703221957,0.008107993729156363,6877.63209484025,0.5575176515728075,0.5
85,6,0.010459574294503898,58,0.5192876045856685,0.6300065685972539,3.521647103454694e-05,0.000295944248039785,5069.534297012081,0.12229268076077958,0.5
123,9,0.07639764120457226,5,0.4430159728614939,0.540975793114201,0.0031622432697851603,0.013701917998352868,6384.754588127453,0.40024778622927526,0.5
30,11,0.04331647198472407,34,0.7155283312979468,0.8607362131130087,0.045111948105457586,0.0006121284065146559,5165.553113735929,0.8010590870281833,0.5
65,12,0.12379917870375318,44,0.613446391334275,0.7268251626871358,1.975339591876542e-05,0.036834071125020504,5976.088306732689,0.6349171439696849,0.5
160,6,0.01168492236918056,65,0.9989701516996021,0.8985669920547207,0.0005979304675985353,0.00012481935444371477,6941.251417100257,0.5097276730872508,0.5
