Loaded 156,950 sources from data/benchmark/benchmark_master_v3.csv
Cards directory: cards/benchmark_v3
Workers: 8 | Timeout: 60s | Max retries: 3
Starting at 2026-03-02T09:16:25.223599+00:00
------------------------------------------------------------
Queued initial batch: 64 in-flight requests
[heartbeat] processed=168/156,950 in_flight=64 done=108 skipped=42 failed=18 cards=0.00GB elapsed=0h22m ETA=16 days, 15:57:17
[heartbeat] processed=168/156,950 in_flight=64 done=108 skipped=42 failed=18 cards=0.00GB elapsed=0h23m ETA=17 days, 0:40:39
[heartbeat] processed=169/156,950 in_flight=64 done=109 skipped=42 failed=18 cards=0.00GB elapsed=0h24m ETA=17 days, 7:48:00
[heartbeat] processed=169/156,950 in_flight=64 done=109 skipped=42 failed=18 cards=0.00GB elapsed=0h24m ETA=17 days, 16:27:59
[heartbeat] processed=171/156,950 in_flight=64 done=110 skipped=42 failed=19 cards=0.00GB elapsed=0h25m ETA=17 days, 23:35:33
[heartbeat] processed=176/156,950 in_flight=64 done=114 skipped=42 failed=20 cards=0.00GB elapsed=0h25m ETA=17 days, 21:08:17
[heartbeat] processed=176/156,950 in_flight=64 done=114 skipped=42 failed=20 cards=0.00GB elapsed=0h26m ETA=18 days, 5:31:14
[heartbeat] processed=176/156,950 in_flight=64 done=114 skipped=42 failed=20 cards=0.00GB elapsed=0h26m ETA=18 days, 13:54:46
[heartbeat] processed=176/156,950 in_flight=64 done=114 skipped=42 failed=20 cards=0.00GB elapsed=0h27m ETA=18 days, 22:17:55
[heartbeat] processed=179/156,950 in_flight=64 done=116 skipped=42 failed=21 cards=0.00GB elapsed=0h27m ETA=19 days, 2:05:41
[heartbeat] processed=181/156,950 in_flight=64 done=118 skipped=42 failed=21 cards=0.00GB elapsed=0h28m ETA=19 days, 4:41:29
[heartbeat] processed=184/156,950 in_flight=64 done=121 skipped=42 failed=21 cards=0.00GB elapsed=0h28m ETA=19 days, 5:32:46
[heartbeat] processed=184/156,950 in_flight=64 done=121 skipped=42 failed=21 cards=0.00GB elapsed=0h29m ETA=19 days, 13:34:27
[heartbeat] processed=186/156,950 in_flight=64 done=123 skipped=42 failed=21 cards=0.00GB elapsed=0h29m ETA=19 days, 16:33:18
[heartbeat] processed=186/156,950 in_flight=64 done=123 skipped=42 failed=21 cards=0.00GB elapsed=0h30m ETA=20 days, 0:29:12
[heartbeat] processed=192/156,950 in_flight=64 done=127 skipped=42 failed=23 cards=0.00GB elapsed=0h30m ETA=19 days, 22:59:46
[heartbeat] processed=192/156,950 in_flight=64 done=127 skipped=42 failed=23 cards=0.00GB elapsed=0h31m ETA=20 days, 6:44:13
[heartbeat] processed=192/156,950 in_flight=64 done=127 skipped=42 failed=23 cards=0.00GB elapsed=0h31m ETA=20 days, 14:28:41
[heartbeat] processed=192/156,950 in_flight=64 done=127 skipped=42 failed=23 cards=0.00GB elapsed=0h32m ETA=20 days, 22:13:13
[heartbeat] processed=192/156,950 in_flight=64 done=127 skipped=42 failed=23 cards=0.00GB elapsed=0h32m ETA=21 days, 5:57:42
[heartbeat] processed=194/156,950 in_flight=64 done=127 skipped=42 failed=25 cards=0.00GB elapsed=0h33m ETA=21 days, 14:09:28
[heartbeat] processed=194/156,950 in_flight=64 done=127 skipped=42 failed=25 cards=0.00GB elapsed=0h34m ETA=21 days, 21:53:58
[heartbeat] processed=200/156,950 in_flight=64 done=127 skipped=42 failed=31 cards=0.00GB elapsed=0h34m ETA=22 days, 6:28:47
[heartbeat] processed=200/156,950 in_flight=64 done=127 skipped=42 failed=31 cards=0.00GB elapsed=0h35m ETA=22 days, 14:13:20
[heartbeat] processed=200/156,950 in_flight=64 done=127 skipped=42 failed=31 cards=0.00GB elapsed=0h35m ETA=22 days, 21:57:49
[heartbeat] processed=203/156,950 in_flight=64 done=130 skipped=42 failed=31 cards=0.00GB elapsed=0h36m ETA=22 days, 20:25:09
[heartbeat] processed=204/156,950 in_flight=64 done=131 skipped=42 failed=31 cards=0.00GB elapsed=0h36m ETA=23 days, 1:16:25
[heartbeat] processed=206/156,950 in_flight=64 done=131 skipped=42 failed=33 cards=0.00GB elapsed=0h37m ETA=23 days, 9:39:54
[heartbeat] processed=208/156,950 in_flight=64 done=133 skipped=42 failed=33 cards=0.00GB elapsed=0h37m ETA=23 days, 11:49:12
[heartbeat] processed=212/156,950 in_flight=64 done=137 skipped=42 failed=33 cards=0.00GB elapsed=0h38m ETA=23 days, 6:32:32
[heartbeat] processed=212/156,950 in_flight=64 done=137 skipped=42 failed=33 cards=0.00GB elapsed=0h38m ETA=23 days, 13:51:05
[heartbeat] processed=212/156,950 in_flight=64 done=137 skipped=42 failed=33 cards=0.00GB elapsed=0h39m ETA=23 days, 21:09:21
[heartbeat] processed=213/156,950 in_flight=64 done=138 skipped=42 failed=33 cards=0.00GB elapsed=0h39m ETA=24 days, 1:45:37
[heartbeat] processed=213/156,950 in_flight=64 done=138 skipped=42 failed=33 cards=0.00GB elapsed=0h40m ETA=24 days, 9:01:37
[heartbeat] processed=214/156,950 in_flight=64 done=138 skipped=42 failed=34 cards=0.00GB elapsed=0h40m ETA=24 days, 17:05:49
[heartbeat] processed=216/156,950 in_flight=64 done=138 skipped=42 failed=36 cards=0.00GB elapsed=0h41m ETA=25 days, 1:26:19
[heartbeat] processed=220/156,950 in_flight=64 done=138 skipped=42 failed=40 cards=0.00GB elapsed=0h41m ETA=25 days, 8:51:22
[heartbeat] processed=222/156,950 in_flight=64 done=140 skipped=42 failed=40 cards=0.00GB elapsed=0h42m ETA=25 days, 9:59:21
[heartbeat] processed=222/156,950 in_flight=64 done=140 skipped=42 failed=40 cards=0.00GB elapsed=0h42m ETA=25 days, 17:10:43
[heartbeat] processed=222/156,950 in_flight=64 done=140 skipped=42 failed=40 cards=0.00GB elapsed=0h43m ETA=26 days, 0:22:11
[heartbeat] processed=222/156,950 in_flight=64 done=140 skipped=42 failed=40 cards=0.00GB elapsed=0h43m ETA=26 days, 7:33:35
[heartbeat] processed=222/156,950 in_flight=64 done=140 skipped=42 failed=40 cards=0.00GB elapsed=0h44m ETA=26 days, 14:44:58
[heartbeat] processed=224/156,950 in_flight=64 done=140 skipped=42 failed=42 cards=0.00GB elapsed=0h45m ETA=26 days, 22:20:37
[heartbeat] processed=228/156,950 in_flight=64 done=140 skipped=42 failed=46 cards=0.00GB elapsed=0h45m ETA=27 days, 5:40:27
[heartbeat] processed=230/156,950 in_flight=64 done=140 skipped=42 failed=48 cards=0.00GB elapsed=0h46m ETA=27 days, 13:30:48
[heartbeat] processed=230/156,950 in_flight=64 done=140 skipped=42 failed=48 cards=0.00GB elapsed=0h46m ETA=27 days, 20:42:04
[heartbeat] processed=231/156,950 in_flight=64 done=141 skipped=42 failed=48 cards=0.00GB elapsed=0h47m ETA=28 days, 0:17:57
[heartbeat] processed=231/156,950 in_flight=64 done=141 skipped=42 failed=48 cards=0.00GB elapsed=0h47m ETA=28 days, 7:26:58
[heartbeat] processed=235/156,950 in_flight=64 done=145 skipped=42 failed=48 cards=0.00GB elapsed=0h48m ETA=28 days, 0:53:09
[heartbeat] processed=238/156,950 in_flight=64 done=145 skipped=42 failed=51 cards=0.00GB elapsed=0h48m ETA=28 days, 8:26:11
[heartbeat] processed=238/156,950 in_flight=64 done=145 skipped=42 failed=51 cards=0.00GB elapsed=0h49m ETA=28 days, 15:25:49
