class,n_rows,n_negatives,predicted_positive_on_negative,fpr_within_class
blazar,29,29,0,0.0
clagn,36,0,0,
normal_agn,32,32,0,0.0
sn,21,21,0,0.0
star,49,49,1,0.02040816326530612
