bin,n,avg_score,empirical_positive_rate
0,15,0.0647699933092336,0.0
1,30,0.15576600665032148,0.0
2,30,0.2532219390637761,0.06666666666666667
3,16,0.36178057149960646,0.25
4,20,0.4519445752084237,0.45
5,28,0.5436352276880965,0.21428571428571427
6,16,0.6422363346303818,0.5
7,10,0.7369477507680728,0.7
8,2,0.8335893878446046,0.0
