source_id,ra,dec,redshift,z_bin,class,y_true
081144.47+121944.7,122.935330,12.329108,0.277000,z_0.0-0.3,normal_agn,0
075244.19+455657.4,118.184152,45.949281,0.052000,z_0.0-0.3,normal_agn,0
081329.29+483427.8,123.372064,48.574407,0.274000,z_0.0-0.3,normal_agn,0
083726.95+312104.8,129.362312,31.351352,0.178083,z_0.0-0.3,normal_agn,0
081059.78+300405.4,122.749111,30.068187,0.162079,z_0.0-0.3,normal_agn,0
084327.31+124417.0,130.863820,12.738079,0.297660,z_0.0-0.3,normal_agn,0
082157.58+081901.0,125.489946,8.316948,0.240894,z_0.0-0.3,normal_agn,0
084229.78+552516.3,130.624097,55.421219,0.237526,z_0.0-0.3,normal_agn,0
080554.11+111432.5,121.475467,11.242362,0.227743,z_0.0-0.3,normal_agn,0
083657.70+201942.2,129.240454,20.328406,0.289900,z_0.0-0.3,normal_agn,0
075101.42+291419.1,117.755949,29.238658,0.120891,z_0.0-0.3,normal_agn,0
075244.63+434105.3,118.185968,43.684812,0.180000,z_0.0-0.3,normal_agn,0
081857.21+111232.4,124.738410,11.209004,0.267000,z_0.0-0.3,normal_agn,0
075621.47+324846.7,119.089495,32.812999,0.276182,z_0.0-0.3,normal_agn,0
080804.98+424310.3,122.020775,42.719554,0.225074,z_0.0-0.3,normal_agn,0
083027.92+543026.1,127.616367,54.507260,0.283381,z_0.0-0.3,normal_agn,0
083646.86+151259.0,129.195250,15.216402,0.280336,z_0.0-0.3,normal_agn,0
081422.59+265410.4,123.594133,26.902913,0.288791,z_0.0-0.3,normal_agn,0
083350.81+445544.9,128.461732,44.929144,0.206000,z_0.0-0.3,normal_agn,0
082549.26+173348.5,126.455260,17.563473,0.223353,z_0.0-0.3,normal_agn,0
082320.27+044300.0,125.834488,4.716683,0.103000,z_0.0-0.3,normal_agn,0
080908.28+202420.4,122.284528,20.405679,0.184368,z_0.0-0.3,normal_agn,0
083533.10+494817.2,128.887948,49.804788,0.198000,z_0.0-0.3,normal_agn,0
