mjd,w1_flux_mjy,w1_flux_err_mjy
55367.0970263,0.2882014840628136,0.0316038188618316
55367.0971537,0.33672609631092926,0.0332980552427161
55367.2293301,0.40844780737160563,0.0302188132797582
55367.2294574,0.4168628063191483,0.0316232389842701
55367.4939376,0.2991528374212171,0.0279121030194857
55367.5601531,0.3510216370194652,0.0318733446121851
55367.6262413,0.3255677985421654,0.0303268761719588
55367.6924569,0.3379609712289649,0.0317270386027902
55367.7585451,0.3521658675900068,0.0292438847933192
55367.8247607,0.35934826059546465,0.0286995502825012
55367.9570645,0.2784951803776077,0.0311128277508427
55368.0892409,0.3797520527626546,0.0302072783656189
55368.2215447,0.28068952207331005,0.0315756629026155
55368.2216721,0.30480215435448366,0.0318325243797502
55547.0289949,0.3240761594171889,0.0332954564650629
55547.1612993,0.3233222395373865,0.0313832896340387
55547.2936037,0.29528759091663387,0.0353397584711108
55547.3596923,0.3331822113291995,0.0372918544677909
55547.4257808,0.30524433817891655,0.0355633363614611
55547.624301,0.3538784375377752,0.0311254806932703
55547.7564781,0.32553779360354856,0.0308739683121153
55548.0209596,0.4182553611359818,0.0402003213569581
55548.021087,0.3869762214480506,0.0465633193956711
57009.06006912,0.38021687793991993,0.0303033569264403
57009.32302257,0.3343987821748224,0.0327805443356855
57009.38872912,0.33307155163174157,0.032351800950411
57009.45443567,0.3342417295686904,0.0313034778930592
57009.52014216,0.39238208768631366,0.0297034171350208
57009.58584872,0.3564893057475765,0.0313374619915311
57010.04592176,0.27279142767562226,0.0349306945027847
57193.93441525,0.3807282248128358,0.030951022641481
57194.06570049,0.4107998538774331,0.0394622478654534
57194.32814346,0.23166557949861277,0.0391420379967185
57194.45930128,0.34520145911111544,0.0304169889405091
57194.52500753,0.37232678287652954,0.0371551520948076
57194.65616531,0.3003198858017297,0.0359861975271836
57194.78745056,0.24320587458955134,0.0280648774905729
57368.18191123,0.12889427569783693,0.0374069864892667
57368.1820386,0.4048693910977093,0.041909797724458
57368.64096643,0.2600314106776285,0.0270452159166509
57368.70654571,0.351438251403377,0.028763042516678
57368.90328365,0.3178507083130092,0.032204418671907
57369.0344423,0.3061151062805643,0.0297154009286708
57558.2191006,0.3551192696604766,0.0311541731290627
57558.35013115,0.36422856655440206,0.0305056377992127
57558.48116183,0.3209222494652696,0.0317377640866018
57558.67777137,0.2722156864271038,0.0338608176846464
57558.808802,0.3955339492756407,0.0312256651634075
57559.07086337,0.30996632896843457,0.0302759835388113
57727.78917215,0.37591375992225495,0.0290276199420777
57727.92007589,0.3702142009200007,0.0310480905607908
57727.98565509,0.3027999898950451,0.0327246171993968
57728.11668609,0.3098608531136584,0.0288289948380398
57925.25885411,0.25660511986381523,0.0295326407250586
57925.38975733,0.4559228567014992,0.0408285860188228
57925.5206606,0.33920926787935557,0.0312627857947316
57925.9789494,0.3313455516183933,0.0361887550326545
57926.10998002,0.3093299158753157,0.0324542101300052
58090.9221449,0.3524639331053894,0.0344427958701144
58091.05304846,0.37277796718318396,0.0424768494182122
58091.24953098,0.3804659164225729,0.0335246350551579
58091.31498272,0.34904181293124054,0.034325449824609
58091.44588628,0.2538192985006966,0.0355497025466458
58091.64224148,0.3831499701317838,0.034947694839055
58091.77314495,0.3595427537842466,0.0291060009798484
58289.72080719,0.3705157382331204,0.0352719789735127
58289.91716216,0.31971316857642135,0.0318548974753991
58290.04806552,0.273244466361109,0.0352624906203673
58290.17896883,0.2908767047666906,0.0312932209961058
58290.30974473,0.28536190478933376,0.0315118883135927
58451.51208299,0.31578624984406484,0.0295470276350571
58451.90517535,0.3138917308935048,0.0315634980967446
58451.97062707,0.3013854695666134,0.0295323815677065
58452.10140323,0.4777911606676704,0.040801448556107
58452.36321008,0.2709392321499163,0.0367913206892658
58653.5080183,0.36964765262213745,0.0353855509713064
58653.63879419,0.3805978516423688,0.0421985634967487
58653.96592508,0.36223501010092285,0.0317918625901003
58654.03137672,0.47337453748210634,0.0477732791918323
58654.48915667,0.3489508177039813,0.0349282127940585
58815.76924456,0.35636486223108194,0.0320499579733753
58815.90002065,0.3005835621800174,0.0283656311330931
58816.03079674,0.3079631804200086,0.0280926395666288
58816.03092406,0.3186726869525894,0.0340918392480256
58816.16119079,0.3732216429760227,0.0287390044863536
58816.35792787,0.3064639519464044,0.0300038081262875
58816.61960736,0.3684629694606902,0.0286069577397188
59020.96864211,0.3995091412947966,0.0302879858517273
59021.16474225,0.28976358628434756,0.0341976358324626
59021.29564539,0.31100925177135885,0.033517728918083
59021.68797352,0.3185090336610195,0.0300325743488774
59182.78224759,0.3548031704816534,0.0296506367896318
59183.04379971,0.28870646040572484,0.0326101214241707
59183.17457579,0.3430083336509648,0.0296838563636812
59183.30535182,0.3002383671883903,0.0287759425904236
59183.50157958,0.2960164882408654,0.0274735000327468
59183.76313227,0.27683036337830014,0.042805723110145
59384.88122405,0.32608375743764256,0.0304869484943406
59385.01199995,0.3278644268664828,0.030515025507912
59385.3387492,0.3333256351101256,0.031581290512883
59385.40407344,0.22235891473748187,0.0339028593155502
59385.4042008,0.22643166065338988,0.0397142254159148
59385.86159813,0.3409335404594366,0.0348967684087898
59546.98718079,0.39009861051912836,0.0275604935494394
59547.11782949,0.24976890686654557,0.0281847391893513
59547.44457853,0.4093228260770809,0.0327274038014111
59547.50990288,0.22102776525908244,0.0298523543867868
59547.83652464,0.38251546325951097,0.0344241744039567
59547.83665196,0.32574198812037797,0.0364145246597035
59547.96730072,0.29656803068906296,0.0307192471186324
59748.99099458,0.3712607873286515,0.0339327220419276
59749.1215158,0.3582919958469229,0.0446813333973528
59749.31723392,0.3351039382384456,0.0323430965575537
59749.57814957,0.3343238145832866,0.0386897579803362
