threshold,precision,recall
0.0682894586547564,0.24390243902439024,1.0
0.0777189520794485,0.25,1.0
0.0837358364850503,0.2564102564102564,1.0
0.0877328961007315,0.2631578947368421,1.0
0.1000676146394705,0.2702702702702703,1.0
0.1129107904766826,0.25,0.9
0.1320530291414456,0.2571428571428571,0.9
0.1455120356983682,0.2647058823529412,0.9
0.1493563938976871,0.2727272727272727,0.9
0.1562157704561071,0.28125,0.9
0.1874682136073431,0.2903225806451613,0.9
0.195455151178447,0.3,0.9
0.2057275733739521,0.3103448275862069,0.9
0.2435250480752346,0.32142857142857145,0.9
0.2508907956746108,0.3333333333333333,0.9
0.2522704720157607,0.34615384615384615,0.9
0.2636656347570054,0.36,0.9
0.2727415563029431,0.375,0.9
0.2872740488579815,0.34782608695652173,0.8
0.3104222838010734,0.36363636363636365,0.8
0.3504742480518211,0.38095238095238093,0.8
0.3821741772027117,0.4,0.8
0.4140273311911018,0.42105263157894735,0.8
0.4156854918116873,0.3888888888888889,0.7
0.4335295921022778,0.4117647058823529,0.7
0.4347423754555139,0.375,0.6
0.4393745242995799,0.4,0.6
0.4709474929686454,0.35714285714285715,0.5
0.5105034243860185,0.38461538461538464,0.5
0.5206285484255788,0.4166666666666667,0.5
0.5290099567200833,0.45454545454545453,0.5
0.544854321182142,0.5,0.5
0.5579657491315172,0.5555555555555556,0.5
0.5985735586890277,0.5,0.4
0.6017881095639926,0.42857142857142855,0.3
0.6373001299825053,0.5,0.3
0.6443719923024547,0.6,0.3
0.6771920586265717,0.5,0.2
0.680954769053413,0.3333333333333333,0.1
0.6809886838880634,0.0,0.0
0.7126662497916778,0.0,0.0
,1.0,0.0
