source_id,ra,dec,redshift,spectral_state_1,spectral_state_2,epoch_1,epoch_2,class,label_source,label_method,independent_of_pipeline,confidence,g_mag,notes,mag,y_true,canonical_id,split,source_id_score,score,status,n_points,baseline_days,band_coverage,baseline_years,delta_mag,delta_mag_method,rejection_reason,used_for_metrics,predicted
1999D,172.11825,58.56083333333333,,,,,,sn,B/sn,Asiago Supernova Catalog,True,,,,15.600000381469728,0,1999D,test,1999D,,TOO_FEW_POINTS,0,0.0,none,0.0,,,Only 0 valid W1 flux measurements,False,
1998L,173.402625,4.584611111111111,,,,,,sn,B/sn,Asiago Supernova Catalog,True,,,,23.600000381469727,0,1998L,test,1998L,,TOO_FEW_POINTS,0,0.0,none,0.0,,,Only 1 valid W1 flux measurements,False,
1999gq,188.4513333333333,15.180055555555557,,,,,,sn,B/sn,Asiago Supernova Catalog,True,,,,14.5,0,1999gq,test,1999gq,0.2057275733739521,OK,51,5097.936271530001,"W1,W2",13.957388833757705,0.4306823507717773,seasonal_median_flux,,True,0.0
4C 34.47,260.8367,34.2994,,,,,,blazar,III/157,Blazar catalog (III/157),True,,,,16.5,0,4C 34.47,test,4C 34.47,0.5290099567200833,OK,415,5117.290773340006,"W1,W2",14.010378571772776,0.0958112539913523,seasonal_median_flux,,True,1.0
4C 29.45,179.8826,29.2455,,,,,,blazar,III/157,Blazar catalog (III/157),True,,,,14.40999984741211,0,4C 29.45,test,4C 29.45,0.6373001299825053,OK,135,5098.245538859999,"W1,W2",13.958235561560572,-0.2574792302885516,seasonal_median_flux,,True,1.0
OJ 287,133.7036,20.1085,,,,,,blazar,III/157,Blazar catalog (III/157),True,,,,14.0,0,OJ 287,test,OJ 287,0.6017881095639926,OK,222,5096.024725839998,"W1,W2",13.952155306885688,0.3516834368354969,seasonal_median_flux,,True,1.0
3C 273,187.2779,2.0524,,,,,,blazar,III/157,Blazar catalog (III/157),True,,,,12.859999656677246,0,3C 273,test,3C 273,0.5105034243860185,OK,233,5095.679095730004,"W1,W2",13.951209023216984,-0.1843016722456055,seasonal_median_flux,,True,1.0
3C 345,250.745,39.8103,,,,,,blazar,III/157,Blazar catalog (III/157),True,,,,15.960000038146973,0,3C 345,test,3C 345,0.7126662497916778,OK,505,5277.51728385,"W1,W2",14.449054849691992,-0.02926557572264,seasonal_median_flux,,True,1.0
7017568540477440,45.86289947461,6.33059307011,,,,,,star,2022A&A...667A.148G,Gaia DR3 variability,True,,,,14.513234,0,7017568540477440,test,7017568540477440,0.0877328961007315,OK,176,5096.384342800004,"W1,W2",13.953139884462706,-0.0399266177241004,seasonal_median_flux,,True,0.0
11271506013429504,53.65193153413,7.4914358003,,,,,,star,2022A&A...667A.148G,Gaia DR3 variability,True,,,,13.210085,0,11271506013429504,test,11271506013429504,0.1129107904766826,OK,145,5099.170004300002,"W1,W2",13.96076660999316,0.0006150186513881,seasonal_median_flux,,True,0.0
