threshold,fpr,tpr
inf,0.0,0.0
0.7126662497916778,0.03225806451612903,0.0
0.6809886838880634,0.06451612903225806,0.0
0.6443719923024547,0.06451612903225806,0.3
0.6017881095639926,0.12903225806451613,0.3
0.5579657491315172,0.12903225806451613,0.5
0.4709474929686454,0.2903225806451613,0.5
0.4393745242995799,0.2903225806451613,0.6
0.4347423754555139,0.3225806451612903,0.6
0.4335295921022778,0.3225806451612903,0.7
0.4156854918116873,0.3548387096774194,0.7
0.4140273311911018,0.3548387096774194,0.8
0.2872740488579815,0.4838709677419355,0.8
0.2727415563029431,0.4838709677419355,0.9
0.1129107904766826,0.8709677419354839,0.9
0.1000676146394705,0.8709677419354839,1.0
0.0682894586547564,1.0,1.0
