subset,source_id,source_id_normalized,canonical_id,source_id_matches_canonical,id_mismatch_reason,is_ambiguous_id,score,status,n_points,baseline_days,baseline_years,baseline_years_recomputed,baseline_years_diff,baseline_years_consistent,band_coverage,delta_mag,rejection_reason,strict_quality
bottom_ok,000030.64-064100.0,000030.64-064100.0,000030.64-064100.0,True,,False,0.1320530291414456,OK,193,5114.118378359999,14.00169302767967,14.00169302767967,0.0,True,"W1,W2",0.121273102267431,,True
bottom_ok,000055.85+200708.9,000055.85+200708.9,000055.85+200708.9,True,,False,0.0741077323035796,OK,181,5116.955480719997,14.009460590609162,14.009460590609162,0.0,True,"W1,W2",0.1960433679078147,,True
bottom_ok,000057.15+150936.5,000057.15+150936.5,000057.15+150936.5,True,,False,0.1158915243993852,OK,85,5112.73779354,13.997913192443532,13.997913192443532,0.0,True,"W1,W2",0.2069431841002017,,True
bottom_ok,000116.62+195153.3,000116.62+195153.3,000116.62+195153.3,True,,False,0.0609726024505732,OK,26,4184.948941759998,11.457765754305266,11.457765754305266,0.0,True,"W1,W2",0.0309710442009888,,False
bottom_ok,000123.61-032317.9,000123.61-032317.9,000123.61-032317.9,True,,False,0.0682894586547564,OK,73,4911.998151090003,13.448318004353192,13.448318004353192,0.0,True,"W1,W2",-0.1407069559398096,,True
bottom_ok,000132.22+135258.3,000132.22+135258.3,000132.22+135258.3,True,,False,0.0657521077452932,OK,221,5113.458779300003,13.999887143874066,13.999887143874066,0.0,True,"W1,W2",0.0399317278837854,,True
bottom_ok,000151.24+084413.3,000151.24+084413.3,000151.24+084413.3,True,,False,0.1050111492762154,OK,179,5114.037271070003,14.001470968021913,14.001470968021911,1.7763568394002505e-15,True,"W1,W2",0.0444759565696205,,True
bottom_ok,000206.48+284933.5,000206.48+284933.5,000206.48+284933.5,True,,False,0.0352779511262743,OK,228,5116.4256420599995,14.008009971416836,14.008009971416836,0.0,True,"W1,W2",0.0132402487287931,,True
bottom_ok,10762260330928128,10762260330928128,10762260330928128,True,,False,0.0584936794761271,OK,178,5099.230732239994,13.960932874031467,13.960932874031469,1.7763568394002505e-15,True,"W1,W2",0.0345445511364944,,True
bottom_ok,11271506013429504,11271506013429504,11271506013429504,True,,False,0.1129107904766826,OK,145,5099.170004300002,13.96076660999316,13.960766609993161,1.7763568394002505e-15,True,"W1,W2",0.0006150186513881,,True
bottom_ok,11997565941688192,11997565941688192,11997565941688192,True,,False,0.0562152395580043,OK,192,5098.983832160004,13.960256898453125,13.960256898453125,0.0,True,"W1,W2",0.0028703809707467,,True
bottom_ok,13107003236999040,13107003236999040,13107003236999040,True,,False,0.1316394692160831,OK,142,3275.0965059200025,8.966725546666673,8.966725546666673,0.0,True,"W1,W2",-0.0739442876827133,,True
bottom_ok,1989ae,1989ae,1989ae,True,,False,0.09677260376953,OK,238,5101.188173909999,13.966292057248458,13.966292057248458,0.0,True,"W1,W2",-0.105148671692132,,True
bottom_ok,1995T,1995T,1995T,True,,False,0.0626614803964709,OK,190,5114.003974610001,14.001379807282683,14.001379807282685,1.7763568394002505e-15,True,"W1,W2",-0.0198564280578274,,True
bottom_ok,1999dp,1999dp,1999dp,True,,False,0.1087972744601992,OK,222,3275.669147790002,8.968293354661197,8.968293354661197,0.0,True,"W1,W2",-0.0221153652888684,,True
bottom_ok,1999dz,1999dz,1999dz,True,,False,0.1116023029064822,OK,191,5299.97118393,14.510530277700203,14.510530277700205,1.7763568394002505e-15,True,"W1,W2",0.0257182193630962,,True
bottom_ok,3555442647201408,3555442647201408,3555442647201408,True,,False,0.0837358364850503,OK,185,5096.4901606700005,13.953429598001373,13.953429598001371,1.7763568394002505e-15,True,"W1,W2",-0.2226721100126343,,True
bottom_ok,3646014917806464,3646014917806464,3646014917806464,True,,False,0.1192161557113064,OK,213,5096.500093050003,13.953456791375778,13.953456791375778,0.0,True,"W1,W2",0.0906286594019511,,True
bottom_ok,3885330495346688,3885330495346688,3885330495346688,True,,False,0.0772668654574424,OK,182,5096.51333627,13.953493049336071,13.953493049336071,0.0,True,"W1,W2",0.0081664917874749,,True
bottom_ok,6288970288166784,6288970288166784,6288970288166784,True,,False,0.0777189520794485,OK,120,5096.016972329999,13.952134078932234,13.952134078932234,0.0,True,"W1,W2",-0.0112036813082678,,True
bottom_ok,6827348733385856,6827348733385856,6827348733385856,True,,False,0.1079840445586058,OK,196,5096.549754810003,13.953592757864484,13.953592757864484,0.0,True,"W1,W2",0.0854675058947599,,True
bottom_ok,7017568540477440,7017568540477440,7017568540477440,True,,False,0.0877328961007315,OK,176,5096.384342800004,13.953139884462706,13.953139884462706,0.0,True,"W1,W2",-0.0399266177241004,,True
bottom_ok,7627655759471360,7627655759471360,7627655759471360,True,,False,0.088410953920399,OK,173,5096.126228000001,13.95243320465435,13.95243320465435,0.0,True,"W1,W2",-0.0547969287907334,,True
bottom_ok,8314820462535424,8314820462535424,8314820462535424,True,,False,0.1373773927105435,OK,194,5096.549754810003,13.953592757864484,13.953592757864484,0.0,True,"W1,W2",0.129582281848993,,True
bottom_ok,8322340949965312,8322340949965312,8322340949965312,True,,False,0.1184610453660886,OK,124,5096.298389539996,13.952904557262135,13.952904557262137,1.7763568394002505e-15,True,"W1,W2",0.1442801770972155,,True
bottom_ok,8578802037330816,8578802037330816,8578802037330816,True,,False,0.0510024915998221,OK,172,5096.519957390003,13.953511176974684,13.953511176974683,1.7763568394002505e-15,True,"W1,W2",-0.0122630531081218,,True
bottom_ok,9159172377805696,9159172377805696,9159172377805696,True,,False,0.0635388158899367,OK,193,5099.227421950003,13.960923810951412,13.960923810951412,0.0,True,"W1,W2",0.0786539417851542,,True
bottom_ok,B2,B2,B2,True,,True,0.0604727458013812,OK,220,5098.470823520001,13.95885235734429,13.95885235734429,0.0,True,"W1,W2",-0.0026452129587498,,True
bottom_ok,HS,HS,HS,True,,True,0.0428728737341924,OK,872,5275.576851190002,14.44374223460644,14.443742234606441,1.7763568394002505e-15,True,"W1,W2",-0.0024405138138648,,True
bottom_ok,SDSSJJ080138.67+423354.1,SDSSJ080138.67+423354.1,SDSSJ080138.67+423354.1,True,sdss_double_j,False,0.1000676146394705,OK,187,5098.721880649995,13.959539714305256,13.959539714305256,0.0,True,"W1,W2",0.047341643402344,,True
top_ok,1959C,1959C,1959C,True,,False,0.65,OK,46,5268.449067820002,14.424227427296378,14.424227427296378,0.0,True,"W1,W2",0.0,,False
