source_id,label,color_slope_early,color_slope_late,color_asymmetry,color_range,color_flux_corr,color_flux_corr_pval,dust_lag_proxy,is_turnon_color_signal,is_turnoff_color_signal,n_epochs
5BZQ J2006+6424,blazar,-0.03692544687130645,0.09504644450587774,-0.3884989813482498,1.6909991000000009,-0.3038828732834163,3.0009753666781674e-12,-7.3572866343518095,0,0,505
5BZB J2201-1707,blazar,0.012215358910588104,0.09317429852623459,0.13110223638709437,0.8600007000000005,-0.4069117667719425,3.3014861688970543e-06,5.449382395420806,0,0,122
5BZQ J2018-1109,blazar,-0.062207024380329774,-0.05305606093672129,1.172477249197271,0.6239995999999977,-0.5642976683579366,8.631617562905666e-18,4.246250653153317,0,0,195
5BZB J2315-5018,blazar,-0.19150250524503706,0.27417782108263594,-0.6984609640884084,1.005999599999999,0.10349273008486948,0.24315085561139088,-1.8497958362387403,0,0,129
5BZQ J2311+4543,blazar,-0.08778172311443358,-0.4965908643987317,0.176768703187319,1.2130002999999991,-0.06779907043103559,0.3712809823196395,3.9421611561601617,0,0,176
5BZB J0540+5823,blazar,0.12078703969616561,-0.03404958444438703,-3.5473866030126247,0.759000799999999,0.20752997738620843,0.0005721475209792938,-1.2934865401363433,0,0,272
5BZQ J0522-6107,blazar,-0.007549746154529609,0.06852944252321665,-0.11016792018951387,1.5679998000000008,-0.36176523476129546,5.445367476755256e-20,-6.381406551453526,0,0,600
5BZQ J1945-3048,blazar,-0.014578142620116766,-0.00582302854119695,2.503532743653728,0.3819999000000003,-0.4972659012818972,1.3166337431498115e-09,3.9890643955121106,0,0,132
5BZU J1804+1755,blazar,0.01631345558558118,0.026325288713969358,0.6196876229100781,0.42200090000000046,-0.48309592215354785,1.1587745897628578e-17,-6.999648016005479,0,0,278
5BZQ J0539+1433,blazar,0.039282647281842414,-0.037366569159740175,-1.0512778712412987,1.7160004999999998,-0.0870097594517831,0.3249431116994049,-5.074315794967551,0,0,130
5BZQ J2116-5527,blazar,-0.0016416459778802503,-0.07513640201835327,0.02184887662679472,1.8260003000000005,-0.41447928049170346,6.479932348473665e-10,2.9971662925092377,0,0,205
5BZB J2340+8015,blazar,-0.04183525535887512,-0.021649132412903463,1.9324217969095236,1.0639992000000014,0.32999877381905807,7.666568108504593e-13,0.14928937076139637,0,0,448
5BZG J2310-4347,blazar,0.022614668108537284,0.010101598042035545,2.2387218353404474,0.6769990999999997,-0.5041942723515347,5.546392586359297e-11,-2.9497164136529763,0,0,149
5BZB J0516+7351,blazar,0.03235707764389395,0.001210078849146712,10.0,1.4429998999999984,-0.20687260611898303,0.00015745530331342294,-4.285001522794246,0,0,329
5BZB J0710+4732,blazar,-0.0008662551375675984,0.0296386145405003,-0.0292272480005395,0.26399999999999935,0.03426272143259618,0.870841017432921,1.491293520732374,0,0,25
5BZB J0615-3117,blazar,0.046882878643317735,0.014285550032596793,3.281839238695066,0.33300020000000075,0.009485397828836381,0.8974810635057106,-0.3980052454056131,0,0,187
5BZQ J0604-4225,blazar,-0.010861557412660656,0.10591061378577522,-0.1025540030825453,1.724999500000001,0.1120398089680301,0.03236145242818336,0.7464351787494858,0,0,365
4FGL J0311.2+6856,blazar,-0.050816183040132724,-0.09704942932473413,0.5236113534485426,1.2149991,-0.4004223916633987,0.009480762831523583,1.9899630199589335,0,0,41
5BZQ J0614+6046,blazar,0.18466215202571243,0.18197660760745324,1.0147576353552663,1.6059989999999988,-0.5562085532601407,0.000776437832204395,-7.56141632786529,0,0,33
4FGL J1136.8-7413,blazar,-0.03395068829944303,-0.09425746162221624,0.36019098875712713,2.076999599999999,-0.4011939702776225,6.988933994787461e-14,8.408081807746072,0,0,322
5BZB J2144-0028,blazar,0.0029770207088451036,-0.3577044715222675,-0.008322570573903997,1.3019990000000021,-0.24345993478460634,0.04885716013183293,-1.5664342784209464,0,0,66
5BZQ J2011-1546,blazar,0.02928534480504988,-0.037214719706551165,-0.7869290709690493,0.32900060000000053,-0.6307620383162078,8.484562467616356e-19,-5.694055567551548,0,0,157
5BZB J0910+3902,blazar,0.032885502230774515,-0.022899325410919418,-1.4360904367555405,0.7040004,0.41503243723976824,1.860067394987395e-12,-0.2487281846632447,0,0,265
5BZB J2247+4413,blazar,0.003358947629357531,0.05098677196086798,0.06587880542693508,0.692998900000001,-0.014994490180289477,0.8102064154951711,-0.5256539819534569,0,0,259
5BZQ J0754+3033,blazar,0.030555792486196626,0.09668118379752823,0.3160469419798087,1.1359996999999993,-0.3605151775782519,1.266781015440086e-07,0.4712224536112246,0,0,203
