source_id,ra,dec,redshift,spectral_state_1,spectral_state_2,epoch_1,epoch_2,class,label_source,label_method,independent_of_pipeline,confidence,g_mag
SDSSJJ090258.39+252915.15,135.74328,25.48757,0.2639999985694885,B,D,53401,58133,clagn,2022ApJ...933..180G,spectroscopic,True,gold,
HE 1136-2304,174.701,-23.349000930786133,0.027000000700354576,nan,nan,1990-01-01,2015-07-14,clagn,2025A&A...693A..35J,spectroscopic,True,gold,
SDSSJ102152.34+464515.6,155.46813,46.75436,0.20399999618530273,spec_epoch1,spec_epoch2,52614,56769,clagn,2019ApJ...874....8M,spectroscopic,True,gold,18.163999557495117
SDSSJ160111.26+474509.6,240.2969,47.75267,0.296999990940094,spec_epoch1,spec_epoch2,52354,57895,clagn,2019ApJ...874....8M,spectroscopic,True,gold,19.285999298095703
SDSSJ231742.68+011425.2,349.42787,1.24034,0.5180000066757202,spec_epoch1,spec_epoch2,52177,57726,clagn,2019ApJ...874....8M,spectroscopic,True,gold,19.354000091552734
SDSSJJ081319.34+460849.5,123.33056,46.147156,0.05370571,spec_epoch1,spec_epoch2,51877,56331,clagn,2024ApJS..272...13S,spectroscopic,True,gold,2.0
SDSSJJ094443.08+580953.2,146.17954,58.164769,0.5631062,spec_epoch1,spec_epoch2,51915,57390,clagn,2024ApJS..272...13S,spectroscopic,True,gold,2.0
SDSSJJ012256.19-000252.68,20.73413,-0.04798,0.3409999907016754,D,B,51817,58113,clagn,2022ApJ...933..180G,spectroscopic,True,gold,
SDSSJJ100256.22+475027.7,150.73428,47.841031,0.39082366,spec_epoch1,spec_epoch2,52339,56338,clagn,2024ApJS..272...13S,spectroscopic,True,gold,2.0
SDSSJJ110501.26+562724.5,166.25525,56.456826,0.23817205,spec_epoch1,spec_epoch2,52373,57374,clagn,2024ApJS..272...13S,spectroscopic,True,gold,2.0
SDSSJJ120442.10+275411.8,181.17545,27.903284,0.16459495,spec_epoch1,spec_epoch2,53819,56337,clagn,2024ApJS..272...13S,spectroscopic,True,gold,2.0
SDSSJJ124946.13+365204.21,192.44226,36.86784,0.5950000286102295,B,D,53772,57781,clagn,2022ApJ...933..180G,spectroscopic,True,gold,
SDSSJJ022930.91-000845.37,37.37882,-0.14596,0.609000027179718,B,D,52200,58072,clagn,2022ApJ...933..180G,spectroscopic,True,gold,
