source_id,ra,dec,class,label_source,label_method,independent_of_pipeline,notes,mag,redshift
1959C,197.84924999999998,3.4105,sn,B/sn,Asiago Supernova Catalog,True,,14.079999923706055,
2001cl,335.6563333333333,-4.125222222222222,sn,B/sn,Asiago Supernova Catalog,True,,17.200000762939453,
1961N,354.6618333333333,27.009416666666667,sn,B/sn,Asiago Supernova Catalog,True,,16.799999237060547,
1999gq,188.4513333333333,15.180055555555555,sn,B/sn,Asiago Supernova Catalog,True,,14.5,
2001au,229.204875,-0.12961111111111112,sn,B/sn,Asiago Supernova Catalog,True,,18.600000381469727,
PKS,196.3876,-10.5554,blazar,III/157,Blazar catalog (III/157),True,,14.920000076293945,
Mrk 501,253.4676,39.7602,blazar,III/157,Blazar catalog (III/157),True,,13.800000190734863,
PG,213.4514,44.0039,blazar,III/157,Blazar catalog (III/157),True,,14.989999771118164,
3C 279,194.0465,-5.7893,blazar,III/157,Blazar catalog (III/157),True,,17.75,
3C 66A,35.665,43.0355,blazar,III/157,Blazar catalog (III/157),True,,15.5,
IIZw 136,323.1163,10.1385,blazar,III/157,Blazar catalog (III/157),True,,14.640000343322754,
4C 34.47,260.8367,34.2994,blazar,III/157,Blazar catalog (III/157),True,,16.5,
TON 153,199.9843,27.4689,blazar,III/157,Blazar catalog (III/157),True,,15.979999542236328,
Mrk 421,166.1138,38.2088,blazar,III/157,Blazar catalog (III/157),True,,13.5,
4C 29.45,179.8826,29.2455,blazar,III/157,Blazar catalog (III/157),True,,14.40999984741211,
TON 1542,188.015,20.1581,blazar,III/157,Blazar catalog (III/157),True,,15.300000190734863,
3C 371,271.7112,69.8245,blazar,III/157,Blazar catalog (III/157),True,,14.220000267028809,
Mrk 734,170.4463,11.7384,blazar,III/157,Blazar catalog (III/157),True,,14.930000305175781,
3C 232,149.5873,32.4006,blazar,III/157,Blazar catalog (III/157),True,,15.779999732971191,
HS,255.2517,64.2025,blazar,III/157,Blazar catalog (III/157),True,,16.1299991607666,
MR,343.5245,-17.582,blazar,III/157,Blazar catalog (III/157),True,,14.359999656677246,
B2,187.104,31.4771,blazar,III/157,Blazar catalog (III/157),True,,15.869999885559082,
BL Lac,330.6804,42.2778,blazar,III/157,Blazar catalog (III/157),True,,14.5,
