rank,source_id,canonical_id,source_id_normalized,canonical_id_normalized,score,status,n_points_results,baseline_days_results,baseline_years_results,band_coverage_results,delta_mag_results,raw_points_total,kept_points_total,fraction_rejected_total,kept_points_w1,kept_points_w2,season_bins_w1,season_bins_w2,has_pre_gap,has_post_gap,has_both_sides,systematics_verdict,blazar_match,known_clagn_match,stage_a_positive,gate_blazar_veto,gate_wise_qc_pass,gate_data_sufficient,gate_state_change_ratio_pass,gate_transient_spike_pass,state_change_ratio_value,transient_spike_flag,transient_max_nonpeak_ratio,transient_max_adjacency_ratio,transient_min_band_seasons,fp_mode_hint,final_label,decision_trace,coordinate_source,is_top_clagn_candidate,card_path,figure_path
172,1999dt,1999dt,1999DT,1999DT,0.156216,OK,123.000000,5116.056862,14.007000,"W1,W2",0.227587,548,548,0.000000,274,274,21,21,False,True,False,CAUTION,False,False,False,True,True,True,True,True,3.322196,False,0.946853,0.361558,21,unknown,Rejected,stage_a_positive=fail;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/172_1999dt.md,outputs/v2_rows/figures/1999dt_wise.png
173,10010439191442176,10010439191442176,10010439191442176,10010439191442176,0.149816,OK,168.000000,5098.759210,13.959642,"W1,W2",-0.022314,640,640,0.000000,320,320,23,23,True,True,True,PASS,False,False,False,True,True,True,True,True,4.896552,False,0.846154,0.500000,23,unknown,Rejected,stage_a_positive=fail;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/173_10010439191442176.md,outputs/v2_rows/figures/10010439191442176_wise.png
174,8328117681250688,8328117681250688,8328117681250688,8328117681250688,0.149356,OK,168.000000,5096.559178,13.953619,"W1,W2",-0.256947,594,594,0.000000,297,297,24,24,True,True,True,PASS,False,False,False,True,True,True,True,True,3.426009,False,0.900498,0.583924,24,unknown,Rejected,stage_a_positive=fail;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/174_8328117681250688.md,outputs/v2_rows/figures/8328117681250688_wise.png
175,5714814765676928,5714814765676928,5714814765676928,5714814765676928,0.148750,OK,52.000000,5095.854616,13.951690,"W1,W2",0.266372,234,233,0.004274,117,116,24,24,True,True,True,PASS,False,False,False,True,True,True,True,True,4.887052,False,0.901060,0.556537,24,unknown,Rejected,stage_a_positive=fail;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/175_5714814765676928.md,outputs/v2_rows/figures/5714814765676928_wise.png
176,9517651823494656,9517651823494656,9517651823494656,9517651823494656,0.145512,OK,167.000000,5096.420380,13.953239,"W1,W2",-0.011542,574,573,0.001742,286,287,23,23,True,True,True,PASS,False,False,False,True,True,True,True,True,6.875000,False,0.864307,0.480826,23,unknown,Rejected,stage_a_positive=fail;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/176_9517651823494656.md,outputs/v2_rows/figures/9517651823494656_wise.png
177,4952372170242944,4952372170242944,4952372170242944,4952372170242944,0.141595,OK,91.000000,5096.344486,13.953031,"W1,W2",-0.169383,416,404,0.028846,208,196,24,24,True,True,True,PASS,False,False,False,True,True,True,True,True,2.795640,False,0.883212,0.359050,24,unknown,Rejected,stage_a_positive=fail;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/177_4952372170242944.md,outputs/v2_rows/figures/4952372170242944_wise.png
178,5920045482070528,5920045482070528,5920045482070528,5920045482070528,0.141544,OK,192.000000,5096.383961,13.953139,"W1,W2",-0.008765,572,572,0.000000,286,286,24,24,True,True,True,PASS,False,False,False,True,True,True,True,True,4.193424,False,0.915194,0.805654,24,unknown,Rejected,stage_a_positive=fail;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/178_5920045482070528.md,outputs/v2_rows/figures/5920045482070528_wise.png
179,8314820462535424,8314820462535424,8314820462535424,8314820462535424,0.137377,OK,194.000000,5096.549755,13.953593,"W1,W2",0.129582,622,622,0.000000,311,311,24,24,True,True,True,PASS,False,False,False,True,True,True,True,True,1.934621,False,0.939516,0.939516,24,unknown,Rejected,stage_a_positive=fail;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/179_8314820462535424.md,outputs/v2_rows/figures/8314820462535424_wise.png
180,000030.64-064100.0,000030.64-064100.0,000030.64-064100.0,000030.64-064100.0,0.132053,OK,193.000000,5114.118378,14.001693,"W1,W2",0.121273,590,586,0.006780,295,291,24,24,False,True,False,CAUTION,False,False,False,True,True,True,True,True,2.930851,False,0.633898,0.261017,24,normal_agn_like,Rejected,stage_a_positive=fail;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/180_000030.64-064100.0.md,outputs/v2_rows/figures/000030.64-064100.0_wise.png
181,3646014917806464,3646014917806464,3646014917806464,3646014917806464,0.119216,OK,213.000000,5096.500093,13.953457,"W1,W2",0.090629,648,319,0.507716,68,251,19,21,False,True,False,CAUTION,False,False,False,True,True,True,True,True,6.495775,False,0.941223,0.940954,19,artifact_like,Rejected,stage_a_positive=fail;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/181_3646014917806464.md,outputs/v2_rows/figures/3646014917806464_wise.png
